title2,description4,category
11. איזה מהפעולות הבאות אסורה בזמן נהיגה?,"<ol><li><span>השמעת מוזיקה</span></li><li><span>דיבור בטלפון נייד</span></li><li><span>הפעלת מזגן</span></li><li><span>שמירה על מרחק</span></li></ol><span id=""correctAnswer11"">דיבור בטלפון נייד</span>",בטיחות
12. מה פירוש התמרור בתמונה?,"<img src=""https://www.gov.il/BlobFolder/generalpage/exam_theory_bank/he/theory_bank_files/pic/traffic_sign_003.jpg"" alt=""תמרור זכות קדימה"" title=""traffic_sign"" /><ol><li><span>אסורה הכניסה</span></li><li><span>זכות קדימה</span></li><li><span>דרך ללא מוצא</span></li><li><span>אסורה החניה</span></li></ol><span id=""correctAnswer12"">זכות קדימה</span>",תמרורים
13. מה המהירות המותרת בעיר?,"<ol><li><span>30 קמ""ש</span></li><li><span>50 קמ""ש</span></li><li><span>70 קמ""ש</span></li><li><span>90 קמ""ש</span></li></ol><span id=""correctAnswer13"">50 קמ""ש</span>",חוקי התנועה
14. איך בודקים את לחץ האוויר בצמיגים?,"<ol><li><span>בעין בלבד</span></li><li><span>בעזרת מד לחץ</span></li><li><span>בבעיטה בצמיג</span></li><li><span>בהאזנה לרעש</span></li></ol><span id=""correctAnswer14"">בעזרת מד לחץ</span>",הכרת הרכב
15. מה עושים במקרה של דימום חזק?,"<ol><li><span>שוטפים עם מים</span></li><li><span>לוחצים על המקום</span></li><li><span>משאירים לבד</span></li><li><span>נותנים אספירין</span></li></ol><span id=""correctAnswer15"">לוחצים על המקום</span>",עזרה ראשונה
16. מה המרחק המינימלי לחניה מפינת רחוב?,"<ol><li><span>3 מטר</span></li><li><span>5 מטר</span></li><li><span>10 מטר</span></li><li><span>15 מטר</span></li></ol><span id=""correctAnswer16"">5 מטר</span>",חוקי התנועה
17. איזה מהבאים מהווה סכנה בנהיגה?,"<ol><li><span>נהיגה עם שמשות</span></li><li><span>נהיגה תחת השפעת אלכוהול</span></li><li><span>האזנה לרדיו</span></li><li><span>נהיגה עם נוסעים</span></li></ol><span id=""correctAnswer17"">נהיגה תחת השפעת אלכוהול</span>",בטיחות
18. מה פירוש התמרור בתמונה?,"<img src=""https://www.gov.il/BlobFolder/generalpage/exam_theory_bank/he/theory_bank_files/pic/traffic_sign_004.jpg"" alt=""תמרור איסור חניה"" title=""traffic_sign"" /><ol><li><span>אסורה הכניסה</span></li><li><span>חובה לעצור</span></li><li><span>איסור חניה</span></li><li><span>דרך ללא מוצא</span></li></ol><span id=""correctAnswer18"">איסור חניה</span>",תמרורים
19. כמה זמן יש לדווח על תאונת דרכים?,"<ol><li><span>24 שעות</span></li><li><span>48 שעות</span></li><li><span>72 שעות</span></li><li><span>שבוע</span></li></ol><span id=""correctAnswer19"">24 שעות</span>",חוקי התנועה
20. מה הדבר הראשון שעושים לפצוע בתאונה?,"<ol><li><span>מעבירים למקום בטוח</span></li><li><span>בודקים הכרה</span></li><li><span>נותנים מים</span></li><li><span>מכסים בשמיכה</span></li></ol><span id=""correctAnswer20"">בודקים הכרה</span>",עזרה ראשונה
21. מה הגורם העיקרי לתאונות בצמתים?,"<ol><li><span>מהירות מופרזת</span></li><li><span>אי מתן זכות קדימה</span></li><li><span>נהיגה תחת השפעה</span></li><li><span>מזג אוויר קשה</span></li></ol><span id=""correctAnswer21"">אי מתן זכות קדימה</span>",בטיחות
22. איזה נוזל חיוני לפעולת המנוע?,"<ol><li><span>מים</span></li><li><span>שמן מנוע</span></li><li><span>מיץ</span></li><li><span>סודה</span></li></ol><span id=""correctAnswer22"">שמן מנוע</span>",הכרת הרכב
23. מה המהירות המותרת בכביש מהיר?,"<ol><li><span>90 קמ""ש</span></li><li><span>100 קמ""ש</span></li><li><span>110 קמ""ש</span></li><li><span>120 קמ""ש</span></li></ol><span id=""correctAnswer23"">110 קמ""ש</span>",חוקי התנועה
24. מה עושים במקרה של עשן מהמנוע?,"<ol><li><span>ממשיכים לנסוע</span></li><li><span>עוצרים ומכבים מנוע</span></li><li><span>מאיצים</span></li><li><span>פותחים חלונות</span></li></ol><span id=""correctAnswer24"">עוצרים ומכבים מנוע</span>",הכרת הרכב
25. איך מטפלים בכוויה?,"<ol><li><span>מורחים חמאה</span></li><li><span>מקררים במים</span></li><li><span>מנקים בסבון</span></li><li><span>מעבירים לשמש</span></li></ol><span id=""correctAnswer25"">מקררים במים</span>",עזרה ראשונה
26. מה המרחק המינימלי לחניה מתחנת אוטובוס?,"<ol><li><span>5 מטר</span></li><li><span>10 מטר</span></li><li><span>15 מטר</span></li><li><span>20 מטר</span></li></ol><span id=""correctAnswer26"">15 מטר</span>",חוקי התנועה
27. איזה מהבאים מהווה הפרעה בנהיגה?,"<ol><li><span>מוזיקה שקטה</span></li><li><span>אכילה בזמן נהיגה</span></li><li><span>נוסע בשקט</span></li><li><span>מזגן פועל</span></li></ol><span id=""correctAnswer27"">אכילה בזמן נהיגה</span>",בטיחות
28. מה פירוש התמרור בתמונה?,"<img src=""https://www.gov.il/BlobFolder/generalpage/exam_theory_bank/he/theory_bank_files/pic/traffic_sign_005.jpg"" alt=""תמרור כביש חד כיווני"" title=""traffic_sign"" /><ol><li><span>דרך ללא מוצא</span></li><li><span>כביש חד כיווני</span></li><li><span>אסורה הכניסה</span></li><li><span>דרך סגורה</span></li></ol><span id=""correctAnswer28"">כביש חד כיווני</span>",תמרורים
29. מתי חובה להחליף צמיגים?,"<ol><li><span>כל שנה</span></li><li><span>כשהם בלויים</span></li><li><span>כל חודש</span></li><li><span>רק בחורף</span></li></ol><span id=""correctAnswer29"">כשהם בלויים</span>",הכרת הרכב
30. מה עושים לפצוע חסר הכרה?,"<ol><li><span>שמים בתנוחת גב</span></li><li><span>שמים בתנוחת התאוששות</span></li><li><span>מעמידים זקוף</span></li><li><span>נותנים מים</span></li></ol><span id=""correctAnswer30"">שמים בתנוחת התאוששות</span>",עזרה ראשונה
31. איזה מהבאים מהווה עבירת תנועה?,"<ol><li><span>נהיגה עם רדיו</span></li><li><span>אי חגירת חגורת בטיחות</span></li><li><span>נהיגה עם מזגן</span></li><li><span>נהיגה עם נוסעים</span></li></ol><span id=""correctAnswer31"">אי חגירת חגורת בטיחות</span>",בטיחות
32. מה הדבר הראשון שבודקים ברכב לפני נסיעה?,"<ol><li><span>את הרדיו</span></li><li><span>את המראות</span></li><li><span>את הסטריאו</span></li><li><span>את הטלפון</span></li></ol><span id=""correctAnswer32"">את המראות</span>",הכרת הרכב
33. מה המרחק המינימלי לחניה מצומת?,"<ol><li><span>3 מטר</span></li><li><span>5 מטר</span></li><li><span>10 מטר</span></li><li><span>15 מטר</span></li></ol><span id=""correctAnswer33"">10 מטר</span>",חוקי התנועה
34. איך מטפלים בפצוע שבר?,"<ol><li><span>מעבירים מיד</span></li><li><span>מקבעים את הגפיים</span></li><li><span>נותנים כדורים</span></li><li><span>מסיימים לבדוק</span></li></ol><span id=""correctAnswer34"">מקבעים את הגפיים</span>",עזרה ראשונה
35. מה פירוש התמרור בתמונה?,"<img src=""https://www.gov.il/BlobFolder/generalpage/exam_theory_bank/he/theory_bank_files/pic/traffic_sign_006.jpg"" alt=""תמרור זהירות"" title=""traffic_sign"" /><ol><li><span>אסורה הכניסה</span></li><li><span>זהירות - סכנה</span></li><li><span>חובה לעצור</span></li><li><span>דרך ללא מוצא</span></li></ol><span id=""correctAnswer35"">זהירות - סכנה</span>",תמרורים
36. מה המהירות המותרת בשכונת מגורים?,"<ol><li><span>30 קמ""ש</span></li><li><span>40 קמ""ש</span></li><li><span>50 קמ""ש</span></li><li><span>60 קמ""ש</span></li></ol><span id=""correctAnswer36"">30 קמ""ש</span>",חוקי התנועה
37. איזה חלק במנוע צריך החלפה תכופה?,"<ol><li><span>הגלגלים</span></li><li><span>מסנן האוויר</span></li><li><span>הגג</span></li><li><span>הדלתות</span></li></ol><span id=""correctAnswer37"">מסנן האוויר</span>",הכרת הרכב
38. מה עושים במקרה של התעלפות?,"<ol><li><span>מעירים בכוח</span></li><li><span>מורידים כרית</span></li><li><span>מרימים רגליים</span></li><li><span>נותנים אלכוהול</span></li></ol><span id=""correctAnswer38"">מרימים רגליים</span>",עזרה ראשונה
39. איזה מהבאים מהווה הפרעה לנהיגה?,"<ol><li><span>מוזיקה רגועה</span></li><li><span>שליחת הודעות</span></li><li><span>נוסע שקט</span></li><li><span>מזגן פועל</span></li></ol><span id=""correctAnswer39"">שליחת הודעות</span>",בטיחות
40. מה הדבר החשוב בבדיקת הרכב?,"<ol><li><span>בדיקת הרדיו</span></li><li><span>בדיקת הבלמים</span></li><li><span>בדיקת הסטריאו</span></li><li><span>בדיקת הטלפון</span></li></ol><span id=""correctAnswer40"">בדיקת הבלמים</span>",הכרת הרכב
